feature,classification_importance,regression_importance
b_mean,0.11021995282860159,0.07166900503491348
R_norm_mean,0.08721502052667775,0.1144696755383418
RB,0.08533993236048039,0.09499004608435671
R_mean,0.053949176045278845,0.03611891641705161
R_p90,0.050987998102896386,0.05070149279618476
V_mean,0.04929542887892827,0.031663360610413686
R_norm_p50,0.04756349075611902,0.06495555045251107
R_p50,0.04501726727830168,0.03447398853288804
a_mean,0.03782944565224184,0.06607537990266471
R_p10,0.03247700637365295,0.025560033895749585
R_std,0.030791571142203118,0.017926275083665576
glare_frac,0.027895050430048828,0.02387541602230786
RG,0.02748685421858219,0.04750779344821446
B_p10,0.025419294810133816,0.019303434196936257
a_std,0.022907354151456304,0.022688110618511777
S_mean,0.022835233085521774,0.03683712488582287
L_mean,0.019716585132688414,0.012765377398069959
gray_mean,0.01941873705596368,0.016033530335427888
gray_p10,0.019179450553191126,0.02125638625436348
S_p50,0.018270458583198368,0.01811974046020842
gray_p90,0.018262624190392308,0.012279957468351255
gray_entropy,0.01702878702994607,0.013928519029312443
G_mean,0.015924177985499152,0.01163340748352099
gray_kurt,0.01516338487151139,0.01519338832566608
gray_range,0.014983343746421598,0.018189034690610614
B_mean,0.014550728880005269,0.01352732551848459
B_p75,0.013728887520526426,0.01867969277825601
gray_skew,0.012663071346519849,0.017318071054958275
G_kurt,0.012212012296406727,0.015072102261863262
G_std,0.011333913700847029,0.012736879558543343
B_std,0.011121801452680678,0.014457764037627241
gray_std,0.0092119590130772,0.009993219824201968
